answerResultLength,answerSetSize,answerSet_0,answerSet_1,brevity,combinedF1,errorF1Format,errorF1Minor,errorF1Spaces,errorGreaterThan,errorHttp,errorNumber,errorQuotationMark,f1,fixedF1,fixedPrecision,fixedRecall,lastAnswer,modelId,precision,recall,relaxedF1,relaxedPrecision,relaxedRecall,resultFilename,startTime,taskId,taskLabel,taskVersion,testUid,trimF1,trimPrecision,trimRecall
1.0,1.0,:2,,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:2,GPT3.5 2024/01,0.0,0.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:52.283164,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,0.0,0.0,0.0
1.0,1.0,"""Bob""",,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5,"""Bob""",GPT3.5 2024/01,0.0,0.0,0.6666666666666666,1.0,0.5,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:52.816379,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:53.551447,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:54.276043,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:54.949808,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:55.562779,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,"""Anne""","""Bob""",1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"""Anne""
""Bob""",GPT3.5 2024/01,0.0,0.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:55.987681,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:56.778629,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:57.459723,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:00.180444,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:01.118294,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:02.111862,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,GPT4 2023/11,0.0,0.0,0.0,0.0,0.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:04.002341,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,0.0,0.0,0.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:04.870900,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:05.799136,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:06.912970,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:07.665411,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:08.565928,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:09.474658,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:10.518282,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:11.594106,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:12.450341,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:13.581311,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:14.427209,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:17.643295,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:18.557510,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:19.371468,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT4 2023/11,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:20.336190,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:21.121984,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:23.712306,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:24.800811,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,"""Anne""","""Bob""",1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"""Anne""
""Bob""",GPT4 2024/04,0.0,0.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:25.726006,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,3,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,GPT4 2024/04,0.0,0.0,0.0,0.0,0.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:27.193801,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,0.0,0.0,0.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:28.201381,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:29.257712,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:30.226871,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:30.960251,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:33.266627,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:34.162100,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:35.304618,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:37.878553,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,Anne,Bob,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Anne
Bob",GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:39.518899,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,1.0,1.0,1.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:40.553204,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT4 2024/04,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:45.729403,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
